trade_date,open_price,high_price,low_price,close_price,adjusted_close,volume,symbol
2005-01-03,1.1567859649658203,1.1626789569854736,1.1178569793701172,1.1301790475845337,0.9481801390647888,691992000,AAPL
2005-01-04,1.1391069889068604,1.1691069602966309,1.1244640350341797,1.141785979270935,0.9579178094863892,1096810400,AAPL
2005-01-05,1.1510709524154663,1.1651790142059326,1.1437499523162842,1.151785969734192,0.9663068652153015,680433600,AAPL
2005-01-06,1.1548210382461548,1.159106969833374,1.1308929920196533,1.1526789665222168,0.9670562148094177,705555200,AAPL
2005-01-07,1.160714030265808,1.2433929443359375,1.15625,1.2366069555282593,1.0374692678451538,2227450400,AAPL
2005-01-10,1.2469639778137207,1.2625000476837158,1.2121429443359375,1.2314289808273315,1.0331248044967651,1725309600,AAPL
2005-01-11,1.21875,1.2348209619522095,1.1453570127487183,1.1528569459915161,0.9672054648399353,2611627200,AAPL
2005-01-12,1.1687500476837158,1.176785945892334,1.130357027053833,1.1689289808273315,0.9806896448135376,1919702400,AAPL
2005-01-13,1.316249966621399,1.3289289474487305,1.2451790571212769,1.2464289665222168,1.0457096099853516,3164716800,AAPL
2005-01-14,1.254464030265808,1.2807140350341797,1.235535979270935,1.2535710334777832,1.0517011880874634,1770742400,AAPL
2005-01-18,1.2473210096359253,1.2625000476837158,1.2098209857940674,1.261607050895691,1.0584430694580078,1006460000,AAPL
2005-01-19,1.2587499618530273,1.2760709524154663,1.245535969734192,1.2478569746017456,1.0469071865081787,751895200,AAPL
2005-01-20,1.243749976158142,1.2726789712905884,1.2405359745025635,1.258213996887207,1.0555965900421143,914922400,AAPL
2005-01-21,1.2733930349349976,1.2785710096359253,1.25,1.2587499618530273,1.0560460090637207,911332800,AAPL
2005-01-24,1.2675000429153442,1.2817859649658203,1.2598210573196411,1.26357102394104,1.0600907802581787,841629600,AAPL
2005-01-25,1.2744640111923218,1.3007140159606934,1.266785979270935,1.286607027053833,1.07941734790802,969231200,AAPL
2005-01-26,1.2975000143051147,1.2991069555282593,1.2717859745025635,1.2901790142059326,1.0824135541915894,739496800,AAPL
2005-01-27,1.2885710000991821,1.3021429777145386,1.2776789665222168,1.2971429824829102,1.088257074356079,496227200,AAPL
2005-01-28,1.2967859506607056,1.3210710287094116,1.2935709953308105,1.3210710287094116,1.108331322669983,801612000,AAPL
