trade_date,open_price,high_price,low_price,close_price,adjusted_close,volume,symbol,return_1d,ma_7,ma_30,volatility_7d
2005-01-03,1.1567859649658203,1.1626789569854736,1.1178569793701172,1.1301790475845337,0.9481801390647888,691992000,AAPL,,,,
2005-01-04,1.1391069889068604,1.1691069602966309,1.1244640350341797,1.141785979270935,0.9579178094863892,1096810400,AAPL,0.010269852763637122,,,
2005-01-05,1.1510709524154663,1.1651790142059326,1.1437499523162842,1.151785969734192,0.9663068652153016,680433600,AAPL,0.008757594488623566,,,
2005-01-06,1.1548210382461548,1.159106969833374,1.130892992019653,1.1526789665222168,0.9670562148094176,705555200,AAPL,0.0007754778746698054,,,
2005-01-07,1.160714030265808,1.2433929443359375,1.15625,1.2366069555282593,1.0374692678451538,2227450400,AAPL,0.07281174760829479,,,
2005-01-10,1.2469639778137207,1.2625000476837158,1.2121429443359375,1.2314289808273315,1.0331248044967651,1725309600,AAPL,-0.004187558593819585,,,
2005-01-11,1.21875,1.2348209619522097,1.1453570127487185,1.152856945991516,0.9672054648399352,2611627200,AAPL,-0.06380578548681659,0.9824657951082502,,
2005-01-12,1.1687500476837158,1.176785945892334,1.130357027053833,1.1689289808273315,0.9806896448135376,1919702400,AAPL,0.013941381085800453,0.9871100102152143,,0.039906041603864684
2005-01-13,1.316249966621399,1.3289289474487305,1.2451790571212769,1.2464289665222168,1.0457096099853516,3164716800,AAPL,0.06630024648029864,0.9996516960007804,,0.04615080548911931
2005-01-14,1.254464030265808,1.2807140350341797,1.235535979270935,1.2535710334777832,1.0517011880874634,1770742400,AAPL,0.005729676809794082,1.0118508849825179,,0.04621695105107897
2005-01-18,1.2473210096359253,1.2625000476837158,1.2098209857940674,1.261607050895691,1.0584430694580078,1006460000,AAPL,0.006410453317833298,1.0249061499323164,,0.046015534497293606
2005-01-19,1.2587499618530271,1.2760709524154663,1.245535969734192,1.2478569746017456,1.0469071865081787,751895200,AAPL,-0.010898916798365188,1.0262544240270342,,0.03839599149259699
2005-01-20,1.243749976158142,1.2726789712905884,1.2405359745025637,1.258213996887207,1.0555965900421145,914922400,AAPL,0.008300070575423257,1.0294646791049413,,0.03835462192157496
2005-01-21,1.2733930349349976,1.2785710096359253,1.25,1.2587499618530271,1.0560460090637207,911332800,AAPL,0.0004257488379990626,1.042156185422625,,0.024797016256011394
2005-01-24,1.2675000429153442,1.2817859649658203,1.2598210573196411,1.26357102394104,1.0600907802581787,841629600,AAPL,0.003830108877589611,1.0534992047718592,,0.02501886376157569
2005-01-25,1.2744640111923218,1.3007140159606934,1.266785979270935,1.286607027053833,1.07941734790802,969231200,AAPL,0.018231049651365128,1.058314595903669,,0.008777616019426063
2005-01-26,1.2975000143051147,1.2991069555282593,1.2717859745025637,1.2901790142059326,1.0824135541915894,739496800,AAPL,0.0027757625809665676,1.0627020767756872,,0.00878388118854417
2005-01-27,1.288571000099182,1.3021429777145386,1.2776789665222168,1.2971429824829102,1.088257074356079,496227200,AAPL,0.005398602171841738,1.0669612203325545,,0.008748804926392373
2005-01-28,1.2967859506607056,1.3210710287094116,1.2935709953308103,1.3210710287094116,1.108331322669983,801612000,AAPL,0.018446237370689067,1.075736096927098,,0.007330557666346316
2005-01-31,1.331786036491394,1.3908929824829102,1.3305360078811646,1.3732140064239502,1.152077317237854,1681097600,AAPL,0.039470141890862065,1.0895190579550607,,0.013912647217780261
2005-02-01,1.375892996788025,1.3887499570846558,1.3674999475479126,1.3844640254974363,1.1615155935287476,678395200,AAPL,0.00819239833097507,1.1045861414500646,,0.013058393142165767
2005-02-02,1.3919639587402344,1.4269640445709229,1.3873209953308103,1.4219640493392944,1.1929765939712524,1020062400,AAPL,0.027086162784026646,1.1235698291233607,,0.01306833808325386
2005-02-03,1.412500023841858,1.4183930158615112,1.380892992019653,1.389464020729065,1.1657109260559082,731651200,AAPL,-0.02285515747176614,1.1358974831444877,,0.019906031733529044
2005-02-04,1.3905359506607056,1.4094640016555786,1.3844640254974363,1.4078569412231443,1.1811414957046509,563556000,AAPL,0.013237046427068133,1.1500014747892107,,0.019556359291117716
2005-02-07,1.4094640016555786,1.416964054107666,1.3839290142059326,1.409643054008484,1.1826400756835938,524456800,AAPL,0.0012687556777850606,1.1634847606931413,,0.019873443569449343
2005-02-08,1.4119640588760376,1.4532140493392944,1.4069639444351196,1.4446430206298828,1.2120039463043213,890019200,AAPL,0.024829084710117355,1.1782951354980469,,0.02035268950201249
2005-02-09,1.4471429586410522,1.4641070365905762,1.394642949104309,1.4060709476470947,1.179643154144287,1191456000,AAPL,-0.026700236627702156,1.182233112198966,,0.021368388585586085
2005-02-10,1.4057140350341797,1.4157140254974363,1.3689290285110474,1.3992860317230225,1.1739510297775269,1093019200,AAPL,-0.004825293434512656,1.1840096030916487,,0.021466280034931253
2005-02-11,1.426071047782898,1.4600000381469729,1.409643054008484,1.4501789808273315,1.2166481018066406,1201054400,AAPL,0.03637040297771632,1.1873912470681327,,0.023486522550965862
2005-02-14,1.4773210287094116,1.5141069889068604,1.4651789665222168,1.5112500190734863,1.2678848505020142,1271463200,AAPL,0.042113038781953716,1.201987521989005,1.0892352342605591,0.024365394770569322
2005-02-15,1.5475000143051147,1.5907139778137207,1.535714030265808,1.5787500143051147,1.324514389038086,2312217600,AAPL,0.04466457542548086,1.2224693638937814,1.101779709259669,0.02728183997526414
2005-02-16,1.574107050895691,1.6107139587402344,1.5598210096359253,1.6094640493392944,1.3502827882766724,1639243200,AAPL,0.019454978709065207,1.2464183228356498,1.1148585418860117,0.02640627608503064
2005-02-17,1.618749976158142,1.6228569746017456,1.561607003211975,1.5680359601974487,1.3155263662338257,1518473600,AAPL,-0.025740105957512305,1.2612072399684362,1.1264991919199625,0.03116654656478795
2005-02-18,1.5667860507965088,1.5689289569854736,1.5401790142059326,1.5501790046691897,1.3005447387695312,1163254400,AAPL,-0.011388314099081698,1.2784788949148995,1.1376154760519663,0.02839625084951045
2005-02-22,1.5410710573196411,1.5767860412597656,1.523036003112793,1.523036003112793,1.277772307395935,1219293600,AAPL,-0.017509917725046176,1.2933105060032435,1.1456255773703257,0.030174993558372776
2005-02-23,1.548570990562439,1.5794639587402344,1.5276789665222168,1.575536012649536,1.321818470954895,1345181600,AAPL,0.03447105818776497,1.3083348444529943,1.1552486995855966,0.02993284003227641
2005-02-24,1.5800000429153442,1.5948209762573242,1.5666069984436035,1.5880359411239624,1.3323047161102295,1519028000,AAPL,0.007933196112594132,1.317537682397025,1.1674186746279398,0.026891349011165976
